,source,edge,target
4,that,anyone,also  taxation
5,also  who,applies to,also  farmers
6,1976  I,p,13 compensation May
8,foresters,i,31 accounting December
11,tax they,profit from,"15,000 calendar year"
12,objective asset size,taken into,agricultural  account
13,forest farmer,is,individual forest areas
14,leased  areas,managed like,own  company
15,leased  it,Az,31 HMdF January
17,farmer  that,include,income tax view
18,value,is,applicable unit valuation
19,agricultural  land,are,agricultural  use
20,hectare that,is,agricultural unit use
21,common unit that,are,agricultural  assets
22,hectare that,is,respective comparison use
23,3 profit limit,relates to,calendar year
24,calendar profit,is decisive,two calendar year
25,profit limit,EStG,then  time
26,Section 7a EStG,EStDV in,3  ForstschAusglG
29,farmer,exceeded,accounting obligation
30,special  notification,included in,notification
31,individual  he,exceeded for,annual  inventories
32,1976 tax I,S,administrative tax AO
34,141  findings,require,necessarily tax assessment
35,findings,made in,also tax form
36,which,see,agricultural  assets
37,other tax which,on,141  Paragraph
38,however  it,taken after,December
39,tax authorities,inform,accounting obligation
40,financial accounting obligation,made known,financial  which
41,one,informed of,relevant forest calculation
42,opening farmer,requested,immediately accounting obligation
43,opening balance sheet,object,financial  year
44,accounting obligation,ends according,accounting obligation
45,longer tax authority,sentence,Establishes accounting obligation
46,longer accounting determination,made in,corresponding accounting notification
47,1977 accounting I,ask,separate  notification
48,whole accounting who,transferred to,whole
49,takeover,take,comprehensive  whole
50,thus business prerequisite,ask,special  request
51,request,AO,past
52,141 accounting AO,exceeded,one accounting Section
53,farmer,is,then  above
54,1  he,point,accounts
56,complaint,submitted to,me
57,141 accounting AO,exceeded,accounting Section
58,farmer,is,then  above
59,he,point,1  7
61,4 General2 Starting,values,55  Paragraph
62,new FMS land,St,221 starting accordance
64,taxation,regulated,land farmers
65,6 EStG BStBl,IS,financial  December
67,1974  Section,EStG,6  1970
68,1974  Section,EStG,August
69,where 1 Land,taken into,6 business 1970
70,1971 business transaction,Example,income tax purposes
71,taxation rules,gain,August
72,that,are,1971  account
73,3  Determination,are,subsequently advance payments
74,agricultural  concept,require,minimum farm buildings
75,agricultural  use,is,agricultural  properties
76,administrative  it,assumed,so  called
77,total land area,is,square  meters
78,overall  areas,is,agricultural  purposes
79,Indications,be,ongoing  crops
80,Membership,contribute to,agricultural state business
81,also  products,exists,personal  consumption
82,serious  use,assumed on,low  profitability
84,third  it,considered serious,owner
85,private house gardens,excluded from,1972 weekend agriculture
86,economic business ownership,lowland,farmer business owner
88,that,are,personal  reasons
89,temporarily  they,remain necessary,remaining  business
90,long term removal,recognized with,lessee
91,recognized  lease,is,recognized  withdrawal
93,expressly  land,took,private  assets
94,lessor,e.g.,tax purposes
95,rental  income,shown in,assessment rental
96,definite  they,remain,definite  period
97,individual  pieces,removed,land
99,use,be,assignment development
100,clear withdrawal action,is,use
101,However  treatment,is irrelevant,standard value method
102,fallow  this,be,holding
104,permanently  one,speak of,agricultural  activity
105,They,belong to private,private  use
106,third  party,applies,area
108,cessation,associated with,operational Section V .
109,encumbrance,constitute,heritable building withdrawal
110,agricultural business which,belonged to,1 business 7
111,only  owner,applies,heritable building property
112,7 ground rent,assumed before,final assessment period
113,agricultural  land,assigned to,legal  owner
114,only  usufructuary,applies,beneficial  exception
116,considerably  he,be,also III .
117,same,applies,agricultural  properties
118,3000 sqm limit,refer to,individual land taxpayer
120,decisive  factor,is,agricultural  holding
121,3000 sqm taxpayer,property,arable  land
122,weekend property,is,private  assets
123,square  it,counts as private,private  assets
124,arable vineyard area,apply,also business assets
125,square tree meters,leased for,120 tree year
126,area,is larger,square tree meters
127,All,belong to,agricultural business assets
129,1970 lease income,leased,private income tax wealth
130,profit,withdrawn with,result
131,above  decision,is,used  areas
132,agriculture business they,belong to,legal business owner
133,that,is,therefore business assets
135,economic  claim,accepted,economic  significance
136,prerequisites,met in exceptional,exceptional property land
137,exceptional  case,exist,one  her
138,administrative  rights,land,permanently  property
139,free  transfer,constitute beneficial,beneficial  ownership
140,3 Property regime Allocation,result from,corporate property spouses
141,general property distinction,made between,common  property
142,joint  property,p,18 2 1959
145,property,is,agricultural business assets
146,they,matter,conditional  spouse
147,common  half,is attributable,spouse
148,Land,is,fully  spouse
149,that,are,fully  property
150,Properties,are,only business assets
151,Land,is,common business owner
152,particular  it,exists in,strange  partners
153,contribution,p,minor BFH 3
155,tacit partnership which,founded by,partnership agreement
156,objective  characteristics,are,entrepreneurship own
159,essential operating taxpayer,apply,free  charge
160,hidden  reserves,realized,business assets
161,1  EStDV,applied,transfer
162,essential company principles,apply,successor
163,essential operating principles,include,living operating inventory
164,company,transferred,whole
165,company building,EStR,operational  meaning
166,transferred  successor,applied,new  acquisitions
167,farm,operated on,9  land
169,taxpayer,transfers,square  meters
170,individual  assets,EStDV,differently  Section
171,two  that,has,two  land
173,He,manages,it
174,square meter he,continues,square meter property
175,area,retained,minor  area
176,single  asset,operation as,agricultural  whole
179,own simplification rule,become,3  taxpayer
180,Therefore  farmer,given,right
181,he,choose,private  assets
182,hidden  reserves,discovered,transferred  areas
183,together  Section,EStR,favored tax Section
184,private  this,continues,agricultural  operation
186,objectively  this,is,special business abandonment
187,insofar  they,remain,land
188,7  rule,discontinued after,3  1972
189,then  he,gave,1  7
190,special  declaration,required in,cases
191,1970  plots,belong to private,private  assets
192,possibility,continuation of,operations
193,2  leasing,permitted according,III B II Tgb
194,essential operating principles,accepted,single  whole
195,taxpayer,has,later  time
196,several  declaration,submitted,uniformly  those
197,company,assumed,17  1970
198,1969 tax office,submitted,3  5
199,land,are necessary,landlord
200,only  they,is,leased  business
202,then  they,removed from,business sale
203,further land that,(,total  area
204,then ​​10 this,is,entirely business lease
205,agricultural  operations,created by,individual  areas
206,retained  area,forms,agricultural  operation
207,individual  areas,leased,therefore  II
208,agricultural  operations,exist according,3  5
209,when  lease,forced,private  assets
210,he,is,business it
211,it,monitored in,square meter regulation
212,cultivated Income Tax area,favored according,14 Income Tax Act
215,continuing  taxpayer,concerns,permanently business assets
216,also business who,EStG,Section
217,voluntary business assets,considered,14 Income Tax Act
218,1972 Income Tax it,removed from,clear removal process
219,farmer,has,square part meters
220,He,leases,square  meters
221,he,choose,4000 business it
222,4000 withdrawal profit,is current,current  §
223,he,are,himself
224,farmer,has,square  meters
225,He,leases,square  meters
226,taxpayer,leave,square business it
227,he,has,private business assets
228,square withdrawal profit,belongs to,possibly
229,4000  sqm,EStG,current § §
230,total  profit,favored according,§ §
231,continued  taxpayer,owns,abandonment
232,lease decree,taken,piece land
234,only lease business,be,new  acquisitions
235,when land gain it,belonged to,private land gain taxation
236,then  lease,seen as,regularly  operation
237,However  taxpayer,prevented from,even business lease
238,which,monitored in,§ §
239,i,is,longer  agriculture
242,special  declaration,required,responsibility
243,EStG1 General Reference,made to,10  3
245,actual  use,EStG in,real estate cadastre
246,real starting amount,EStG,Section
247,legal  provision,regulates,cases
248,later  correction,Paragraph,3 yield 1972
251,Evidence,provided in different,1970 development municipality
252,further  reference,made to,9  6
253,partial  value,determined,1  1970
254,decree,led to,significant  value
258,partial sales costs,made in,sales sales 6
260,this,has,record
261,1974  property,mean,subsequent  determination
263,subsequent  assessment,has,individual property tax
265,that,change,agricultural  sector
266,6 book which,intended,partial rate profits
267,selling price,taken into,selling costs
268,prohibition,applies to partial,3 value 1972
269,3000 DM Sale loss,is,2000  Section
270,value recording,EStG,§ §
271,when  determining,is,3 13a nos
272,1  2,pointed,decree
273,12  values,is in,55  EStG
274,only  land,applies in,fixed  June
275,1970  land,capitalized at,acquisition
276,deposit,is,partial  value
277,inserted production asset,are,prior  contribution
278,5 starting values,is,acquisition costs
279,land that,justified,prior land gain taxation
280,acquisition Tax Amendment costs,are,only business assets
281,only sales proceeds,has,acquisition costs
282,right,no,3 profit Section
283,also  property,is,fixed starting amount
284,purchase price,Summarizing,beginning  1979
