,sentence
0,Oberfinanzdirektion Frankfurt am Main S-2163 A - 6 - St II 22S-2163S-2230S-3139 The sample form was not included
1,AO: 130 / 1AO: 140AO: 141 / 1AO: 141 / 2AO: 160AO: 161EStG: 7a / 7EStDV: 76EStDV: 77EStDV: 78 Accounting obligation; here: farmers and foresters Reference: Rdvfg
2,from 23 March 1976 - S-2230 A - 22 - St II 22 Vfg
3,"dated June 2, 1976 - S-2230 B - 2/76 - St II 22; Rdvfg"
4,"dated 28 January 1977 - S-3139 A - 3 - St III 50 / S-2230 B - 2/76 - St II 22 1 General 2 Asset limit 3 Profit limit 4 Beginning of the accounting obligation 5 Discontinuation of the accounting obligation 6 Continuation of the accounting obligation when taking over the business in total 7 handling of complaints against the request for bookkeeping from 1 7 1976 on account of exceeding the asset limit 1 General a) According to § 140 AO 1977 (§ 160 para 1 RAO), anyone who has to keep books and records according to laws other than tax laws that are important for taxation, to fulfill the obligations that are incumbent on him under the other laws, also for taxation"
5,This also applies to farmers and foresters who z
6,on the basis of the law on the merchant status of farmers and foresters and the compensation claim of the commercial agent of 13 May 1976 (BGBl 1976 I p
7,1197) have brought about the entry of their company in the commercial register according to § 3 HGB
8,"b) For farmers and foresters not falling under Section 140 AO 1977, the accounting obligation in Section 141 Paragraph 1 and 2 AO 1977 (until 31 December 1976: Section 161 Paragraph 1 RAO i"
9,97 § 19 EGAO 1977 and OFD-Rdvfg
10,"dated 29 June 1976 - S-1160 d A - 1 - St II 4 a, AO card index § 161 card 101)"
11,"Farmers and foresters are to be asked to transfer to the bookkeeping if, according to the findings of the tax office, they have aa) sales, including tax-free sales, excluding sales according to § 4 No. 8 and 9 UStG, of more than DM 360,000 per calendar year or bb) agricultural and forestry assets of more than 100,000 DM or cc) a profit from agriculture and forestry of more than 15,000 DM in the calendar year"
12,"2 Asset limit After the purpose of this asset limit, the objective size of the agricultural and forestry operation must be taken into account"
13,"It is therefore irrelevant whether the business belongs to the farmer and forest manager, has been leased by him or whether the farmer and forest manager has leased individual areas"
14,"The leased areas are managed like their own property and, like them, influence the size and profitability of the company"
15,"Therefore, in the interests of equal tax treatment of farmers and foresters who only use their own agricultural land and those who also cultivate leased land, it is necessary to take the leased land into account when determining the bookkeeping limit (HMdF decree of 31 January 1977 - Az"
16,: S-2163 A - 6 - II B 11)
