,Entity,Original_word,Class,Hypernyms,Paragraph Id,File
0,Buchführung,Buchführungspflicht,Entity,[],para_1,0011317.xml
1,23. März,23. März,,,para_3,0011317.xml
2,Bundesautobahn 22,A - 22,,,para_3,0011317.xml
3,2. Juni,2. Juni,,,para_3,0011317.xml
4,Bundesstraße 2,B - 2,,,para_3,0011317.xml
5,28. Januar,28. Januar,,,para_4,0011317.xml
6,Bundesautobahn 3,A - 3,,,para_4,0011317.xml
7,Friedrich III. (Brandenburg-Bayreuth),III,,,para_4,0011317.xml
8,Unternehmenskauf,Übernahme,Entity,[],para_10,0011317.xml
9,Betriebsstoff,Betriebs,,,para_10,0011317.xml
10,Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte,Gemä,,,para_12,0011317.xml
11,Gesetz,Gesetzen,,,para_12,0011317.xml
12,Steuer,Besteuerung,Entity,[],para_12,0011317.xml
13,Landwirtschaft,Land,Entity,[],para_12,0011317.xml
14,Grundrechte,Grund,Entity,[],para_12,0011317.xml
15,Kaufmann (HGB),Kaufmannseigenschaft,,,para_12,0011317.xml
16,Landgericht,Land,Entity,[],para_12,0011317.xml
17,Ausgleichsanspruch des Handelsvertreters,Ausgleichsanspruch des Handelsvertreters,,,para_12,0011317.xml
18,13. Mai,13. Mai,,,para_12,0011317.xml
19,Bundesgesetzblatt (Deutschland),BGBl,,,para_12,0011317.xml
20,Unternehmen,Unternehmens,,,para_12,0011317.xml
21,Handelsregister,Handelsregister,Entity,['Tabelle'],para_12,0011317.xml
22,Handelsgesetzbuch,HGB,,,para_12,0011317.xml
23,Abgabenordnung,AO,,,para_13,0011317.xml
24,29. Juni,29. Juni,,,para_13,0011317.xml
25,West Autobahn,A - 1,,,para_13,0011317.xml
26,Lich,lich,,,para_14,0011317.xml
27,Umsatzsteuergesetz (Deutschland),UStG,,,para_14,0011317.xml
28,Deutsche Mark,DM,Entity,[],para_14,0011317.xml
29,Brandenburg,bb,,,para_15,0011317.xml
30,Vermögen von Parteien und Massenorganisationen der DDR,Vermögen,Entity,[],para_15,0011317.xml
31,Forstwirtschaft,Forstwirtschaft,Entity,[],para_16,0011317.xml
32,Mark (DDR),DM,Entity,[],para_16,0011317.xml
33,Große Mühl,Größe,Entity,"['Lebewesen', 'Lebewesen']",para_17,0011317.xml
34,Land- und forstwirtschaftlicher Betrieb,land- und forstwirtschaftlichen,,,para_17,0011317.xml
35,Betrieb,Betrieb,Entity,[],para_17,0011317.xml
36,Shara Worden,worden,,,para_17,0011317.xml
37,Forstwirt,Forstwirt,Entity,"['Lebewesen', 'Lebewesen']",para_17,0011317.xml
38,Grundstück,Grundstücke,,,para_17,0011317.xml
39,Bewirtschaftung,bewirtschaftet,,,para_17,0011317.xml
40,31. Januar,31. Januar,,,para_17,0011317.xml
41,Bundesautobahn 6,A - 6,,,para_17,0011317.xml
42,Konjunkturpaket II,II,,,para_17,0011317.xml
43,Bundesstraße 11,B 11,,,para_17,0011317.xml
44,Vermögen (Fähigkeit),Vermögen,Entity,[],para_17,0011317.xml
45,Sinn (Wahrnehmung),Sinne,,,para_17,0011317.xml
46,Zahl,zählen,Entity,[],para_17,0011317.xml
47,Fläche (Mathematik),Flächen,,,para_17,0011317.xml
48,Ertragsteuer,ertragsteuerlichen,,,para_17,0011317.xml
49,Betriebsvermögen,Betriebsvermögen,Entity,[],para_17,0011317.xml
50,Wertpapier,Wert,Entity,[],para_17,0011317.xml
51,Wirtschaftsgut (Steuerlehre),Wirtschaftsgüter,,,para_17,0011317.xml
52,Einheitswert,Einheitsbewertung,Entity,[],para_17,0011317.xml
53,Rechtsnorm,Vorschriften,,,para_17,0011317.xml
54,Größenordnung (Fläche),Flächen,,,para_17,0011317.xml
55,Vergleichswertverfahren,Vergleichswert,Entity,[],para_17,0011317.xml
56,Bewertungsgesetz,BewG,,,para_17,0011317.xml
57,Gemeiner Wert,gemeinen Wert,,,para_17,0011317.xml
58,Bewertung (Rechnungswesen),bewertet,,,para_17,0011317.xml
59,Wert (Wirtschaft),Wert,Entity,[],para_17,0011317.xml
60,Vermögen (Wirtschaft),Vermögens,,,para_17,0011317.xml
61,Menschenwürde,würde,,,para_17,0011317.xml
62,Wertvorstellung,Wert,Entity,[],para_17,0011317.xml
63,Gewinn,Gewinn,Entity,[],para_18,0011317.xml
64,Jahr,Kalenderjahres,,,para_18,0011317.xml
65,Geschäftsjahr,Wirtschaftsjahr,Entity,[],para_18,0011317.xml
66,Mach-Zahl,ma,,,para_18,0011317.xml
67,Jahresabschlussprüfung,Prüfung,Entity,[],para_18,0011317.xml
68,Einkommensteuergesetz,EStG,,,para_18,0011317.xml
69,Einkommensteuer-Durchführungsverordnung,EStDV,,,para_18,0011317.xml
70,Landwirt,Land,Entity,[],para_19,0011317.xml
71,Einkommensteuer,Einkommensteuer,Entity,[],para_19,0011317.xml
72,Jahrmillion,ma,,,para_19,0011317.xml
73,Zeitpunkt,Zeitpunkt,Entity,[],para_19,0011317.xml
74,Veranlagung (Steuerrecht),Veranlagung,Entity,[],para_19,0011317.xml
75,Umsatzsteuer,Umsatzsteuer,Entity,[],para_19,0011317.xml
76,Finanzbehörde,Finanzbehörde,Entity,['Gebäude'],para_20,0011317.xml
77,Grundschule,Grund,Entity,[],para_20,0011317.xml
78,Schulabschluss,Abschlüsse,,,para_20,0011317.xml
79,Steuerbescheid,Steuerbescheid,Entity,[],para_21,0011317.xml
80,Grundlagenbescheid,Feststellungsbescheid,Entity,[],para_21,0011317.xml
81,Einkommensteuererklärung,Einkommensteuererklärung,Entity,['Steuererklärung'],para_21,0011317.xml
82,Steuerpflicht,Steuerpflichtigen,,,para_22,0011317.xml
83,Order of Canada,cc,,,para_23,0011317.xml
84,Bilanz,Eröffnungsbilanz,Entity,['Berechnung'],para_23,0011317.xml
85,Gold,au,,,para_23,0011317.xml
86,Naci Erdem,erdem,,,para_23,0011317.xml
87,Datenverarbeitung,Datenverarbeitungsanlage,Entity,[],para_23,0011317.xml
88,Steuererklärung,Steuererklärung,Entity,[],para_24,0011317.xml
89,Betriebswirtschaftslehre,Betriebs,,,para_25,0011317.xml
90,Eigentum,Erwerb,Entity,[],para_25,0011317.xml
91,Begründung,Begründung,Entity,[],para_25,0011317.xml
92,Maßeinheit,ma,,,para_26,0011317.xml
93,Anlagevermögen,Anlage,Entity,[],para_26,0011317.xml
94,Einkommensteuer (Deutschland),Einkommensteuerbescheid,Entity,['Steuerbescheid'],para_26,0011317.xml
95,Grundbesitz,land,,,para_26,0011317.xml
96,Kasus,Fall,Entity,[],para_27,0011317.xml
97,Kausalität,Wirkung,Entity,[],para_27,0011317.xml
98,Aostatal,AO,,,para_27,0011317.xml
99,Überquerung,überschritten,,,para_27,0011317.xml
100,Verfassungsbeschwerde,Beschwerde,Entity,[],para_28,0011317.xml
101,Richter (Deutschland),Unabhängig,,,para_28,0011317.xml
102,Verfahrensrecht,Verfahrensrecht,Entity,[],para_29,0011317.xml
103,Lohnsteuer,Lohnsteuer,Entity,['Einkommensteuer'],para_29,0011317.xml
104,Steuerfestsetzung,Festsetzung,Entity,[],para_6,0019421.xml
105,Steuervorauszahlung,Vorauszahlungen,,,para_6,0019421.xml
106,Erbbaurecht,Erbbaurecht,Entity,[],para_9,0019421.xml
107,Nießbrauch,Nießbrauch,Entity,['Nutzungsrecht'],para_10,0019421.xml
108,Ehe,Ehegatten,,,para_12,0019421.xml
109,Wirtschaftliche Betrachtungsweise,Wirtschaftliches Eigentum,,,para_14,0019421.xml
110,Güterrecht,Güterstand,Entity,[],para_15,0019421.xml
111,Mitunternehmerschaft,Mitunternehmerschaft,,,para_16,0019421.xml
112,Vorweggenommene Erbfolge,vorweggenommenen Erbfolge,,,para_17,0019421.xml
113,Boden (Produktionsfaktor),Bodens,,,para_23,0019421.xml
114,Lockheed U-2,u. 2,,,para_25,0019421.xml
115,Fallen (Geologie),Fällen,,,para_25,0019421.xml
116,Schacht (Bergbau),Nutzung,Entity,[],para_25,0019421.xml
117,Kataster,Liegenschaftskataster,Entity,['Tabelle'],para_25,0019421.xml
118,Bonifatius VIII.,VIII,,,para_29,0019421.xml
119,Gregor IX.,IX,,,para_29,0019421.xml
120,Gewerkschaft Deutscher Lokomotivführer,GDL,,,para_30,0019421.xml
121,Zahlung,Zahlung,Entity,[],para_30,0019421.xml
122,Freibetrag,Freibeträge,,,para_31,0019421.xml
123,Zuständigkeit,Zuständigkeit,Entity,[],para_48,0019421.xml
124,Feststellungsklage,Feststellung,Entity,[],para_48,0019421.xml
125,Ermittlungsverfahren,Ermittlung,Entity,[],para_51,0019421.xml
126,Forderungsbesichertes Wertpapier,Abs,,,para_57,0019421.xml
127,Selbständigkeit (beruflich),selbständig,Entity,[],para_60,0019421.xml
128,Satz (Grammatik),Satz,Entity,[],para_61,0019421.xml
129,Verdichtungsverhältnis,vgl,,,para_61,0019421.xml
130,Antiblockiersystem,Abs,,,para_61,0019421.xml
131,Bundessteuerblatt,BStBl,,,para_61,0019421.xml
132,Elliniki Radiofonia Tileorasi,ert,,,para_63,0019421.xml
133,Einkommensteuer-Richtlinien,EStR,,,para_65,0019421.xml
134,Verfügungsverbot,Veräußerungs,,,para_66,0019421.xml
135,Kleingewerbe,Kleingewerbetreibender,Entity,"['Lebewesen', 'Lebewesen']",para_67,0019421.xml
136,Veräußerung,Veräußerung,Entity,[],para_67,0019421.xml
137,Boden (Bodenkunde),Bodens,,,para_68,0019421.xml
138,Laufendes Gut,laufenden,,,para_68,0019421.xml
139,Daniel Weder,weder,,,para_71,0019421.xml
140,Betriebsmittel (Produktion),Betriebsmitteln,,,para_71,0019421.xml
141,Falabella,Nutzung,Entity,[],para_71,0019421.xml
142,Infimum und Supremum,im allgemeinen,,,para_72,0019421.xml
143,Gemüse,Gemüse,Entity,[],para_72,0019421.xml
144,Schnittblume,Blumen,,,para_72,0019421.xml
145,Zierpflanzenbau,Zierpflanzenanbau,,,para_72,0019421.xml
146,Baumschule,Baumschulen,,,para_72,0019421.xml
147,Weinbau,Weinbau,Entity,[],para_72,0019421.xml
148,Hopfen,Hopfen,Entity,"['Lebewesen', 'Lebewesen']",para_72,0019421.xml
149,Gemüsespargel,Spargel,Entity,"['Lebewesen', 'Lebewesen']",para_72,0019421.xml
150,Obstbau,Obstbau,Entity,"['Anbau', 'Anbau']",para_72,0019421.xml
151,Maschine,Maschinen,,,para_72,0019421.xml
152,Gerät,Geräten,,,para_72,0019421.xml
153,Dünger,Düngung,Entity,[],para_72,0019421.xml
154,Kultur,Kulturen,,,para_72,0019421.xml
155,Mitglied,Mitgliedschaft,Entity,[],para_72,0019421.xml
156,Landwirtschaftliche Alterskasse,landwirtschaftliche Alterskasse,,,para_72,0019421.xml
157,Agrarstruktur,Agrarstruktur,Entity,[],para_72,0019421.xml
158,Dritte Welt,Dritten,,,para_74,0019421.xml
159,Privatschule,private,,,para_75,0019421.xml
160,Nutzgarten,Hausgärten,,,para_75,0019421.xml
161,Kleingarten,Schrebergärten,,,para_75,0019421.xml
162,Erla (Fluss),Erla,,,para_75,0019421.xml
163,Friedrich Wilhelm III. (Preußen),III,,,para_77,0019421.xml
164,Altpreußisches Infanterieregiment No. 2 (1806),Nr. 2,,,para_77,0019421.xml
165,Pachtvertrag (Deutschland),Verpachtete,,,para_78,0019421.xml
166,Heideland (Thüringen),Heideland,Entity,['Fläche'],para_79,0019421.xml
167,Unland,Unland,,,para_80,0019421.xml
168,Wassergraben,Wassergräben,,,para_80,0019421.xml
169,Brache,Brachliegende,,,para_81,0019421.xml
170,Sozialbrache,Sozialbrache,,,para_81,0019421.xml
171,Wirtschaftlichkeit,wirtschaftlichen,,,para_81,0019421.xml
172,Immobiliarmiete,Pachtverhältnis,Entity,[],para_82,0019421.xml
173,Verwandtschaftsbeziehung,Eltern,Entity,"['Lebewesen', 'Verwandter', 'Lebewesen']",para_82,0019421.xml
174,Kindheit,Kinder,,,para_82,0019421.xml
175,Entnahme,Entnahme,Entity,[],para_82,0019421.xml
176,Veranlagungszeitraum,Veranlagungszeitraum,Entity,['Zeitraum'],para_86,0019421.xml
177,Einkünfte aus Vermietung und Verpachtung (Deutschland),Einkünfte aus Vermietung und Verpachtung,,,para_86,0019421.xml
178,Die Zeit,Zeit,Entity,[],para_87,0019421.xml
179,Ungarn,ung,,,para_89,0019421.xml
180,Betriebswasser,Betriebs,,,para_90,0019421.xml
181,Dingliches Recht (Deutschland),Belastung,Entity,[],para_92,0019421.xml
182,Betriebsveräußerung,Betriebsveräußerung,,,para_92,0019421.xml
183,Erbbauzins,Erbbauzinsen,,,para_92,0019421.xml
184,Recht,rechtlichen,,,para_93,0019421.xml
185,Trdat III.,III,,,para_93,0019421.xml
186,Rekursion,Beispiele,,,para_95,0019421.xml
187,Regelungstechnik,Regelung,Entity,[],para_95,0019421.xml
188,Erbengemeinschaft,Erbengemeinschaft,Entity,[],para_98,0019421.xml
189,Landwirtschaftliche Nutzfläche,Ackerfläche,Entity,['Fläche'],para_101,0019421.xml
190,Großseggenried,grö,,,para_101,0019421.xml
191,Kanton Zug,Zug,Entity,['Fläche'],para_103,0019421.xml
192,Weinberg,Rebfläche,Entity,['Fläche'],para_104,0019421.xml
193,Ertrag,Ertrag,Entity,['Einkünfte'],para_104,0019421.xml
194,Wald,Wald,Entity,['Fläche'],para_104,0019421.xml
195,Vieh,grö,,,para_105,0019421.xml
196,Gewinnmitnahme,Gewinnrealisierung,,,para_105,0019421.xml
197,Wirtschaft,wirtschaftlichen,,,para_108,0019421.xml
198,Gut (Wirtschaftswissenschaft),Wirtschaftsgut,Entity,[],para_109,0019421.xml
199,Herausgabeanspruch,Herausgabeanspruch,Entity,['Berechtigung'],para_109,0019421.xml
200,Elternschaft,Elternteil,Entity,"['Lebewesen', 'Verwandter', 'Lebewesen']",para_109,0019421.xml
201,Ständigkeit,bzw,,,para_109,0019421.xml
202,Minderjährigkeit,minderjährigen,,,para_109,0019421.xml
203,Verwaltungsrecht (Deutschland),Verwaltungsrecht,Entity,[],para_109,0019421.xml
204,Gütergemeinschaft (Ehe),Gütergemeinschaft,Entity,['Güterstand'],para_111,0019421.xml
205,Der Betrieb,Betrieb,Entity,[],para_111,0019421.xml
206,Rolle VD,Rolle,Entity,['Aufgabe'],para_111,0019421.xml
207,Gewerbe,gewerblichen,,,para_113,0019421.xml
208,Kapital,Kapital,Entity,[],para_113,0019421.xml
209,Semantik,Bedeutung,Entity,[],para_113,0019421.xml
210,Zitat,vgl,,,para_113,0019421.xml
211,Sozialverhalten,Verhalten,Entity,[],para_116,0019421.xml
212,Freier Wille,Willen,Entity,[],para_116,0019421.xml
213,Objektivität,objektiven,,,para_116,0019421.xml
214,Merkmal,Merkmale,,,para_116,0019421.xml
215,Karl Überla,überlä,,,para_116,0019421.xml
216,Stille Reserven,stillen Reserven,,,para_119,0019421.xml
